campaign_external_source,campaign_external_id,brand_external_source,brand_external_id,is_primary
giftpop.vn,MP2311060005,giftpop.vn,CHUKTEA,true
giftpop.vn,MP2605070005,giftpop.vn,NGUPHAN,true
giftpop.vn,MP2502270006,giftpop.vn,TOUSLESJOURS,true
giftpop.vn,MP2606300004,giftpop.vn,DMARIS,true
giftpop.vn,CB2507180001,giftpop.vn,GOLDENGATE,true
giftpop.vn,1PEMP2425142201,giftpop.vn,LOTTERIA,true
giftpop.vn,MP2205300005,giftpop.vn,PIZZA4PS,true
giftpop.vn,MP2107290006,giftpop.vn,MARCFASHION,true
giftpop.vn,MP2504290008,giftpop.vn,TIEMGOIA,true
giftpop.vn,MP2603020001,giftpop.vn,PNJ,true
giftpop.vn,MP2508150005,giftpop.vn,HPLUS,true
giftpop.vn,MP2308220032,giftpop.vn,VIETNAMOBILE,true
giftpop.vn,MP2401310003,giftpop.vn,SOHACOIN,true
giftpop.vn,MP2512230010,giftpop.vn,SUOITIEN,true
giftpop.vn,MP2605150006,giftpop.vn,LOTTEMART,true
giftpop.vn,MP2512020002,giftpop.vn,LOTTYFRIENDS,true
giftpop.vn,MP2605070001,giftpop.vn,KMARKET,true
giftpop.vn,MP2212080007,giftpop.vn,BELOVEDBEYOND,true
giftpop.vn,MP2509230004,giftpop.vn,BE,true
giftpop.vn,MP2311060004,giftpop.vn,CHUKTEA,true
giftpop.vn,MP2605070004,giftpop.vn,NGUPHAN,true
giftpop.vn,MP2502270005,giftpop.vn,TOUSLESJOURS,true
giftpop.vn,MP2606300003,giftpop.vn,DMARIS,true
giftpop.vn,MP2303150002,giftpop.vn,GOLDENGATE,true
giftpop.vn,1PEMP2425141801,giftpop.vn,LOTTERIA,true
giftpop.vn,MP2205300003,giftpop.vn,PIZZA4PS,true
giftpop.vn,MP2107290005,giftpop.vn,MARCFASHION,true
giftpop.vn,MP2504290007,giftpop.vn,TIEMGOIA,true
giftpop.vn,MP2201170002,giftpop.vn,PNJ,true
giftpop.vn,MP2508150004,giftpop.vn,HPLUS,true
giftpop.vn,MP2308220031,giftpop.vn,VIETNAMOBILE,true
giftpop.vn,MP2401310002,giftpop.vn,SOHACOIN,true
giftpop.vn,MP2512230009,giftpop.vn,SUOITIEN,true
giftpop.vn,MP2605150005,giftpop.vn,LOTTEMART,true
giftpop.vn,MP2512020001,giftpop.vn,LOTTYFRIENDS,true
giftpop.vn,MP2012150001,giftpop.vn,KMARKET,true
giftpop.vn,MP2212080006,giftpop.vn,BELOVEDBEYOND,true
giftpop.vn,MP2509230003,giftpop.vn,BE,true
giftpop.vn,MP2311060003,giftpop.vn,CHUKTEA,true
giftpop.vn,MP2605070003,giftpop.vn,NGUPHAN,true
giftpop.vn,MP2502270003,giftpop.vn,TOUSLESJOURS,true
giftpop.vn,MP2606300002,giftpop.vn,DMARIS,true
giftpop.vn,CB2211180002,giftpop.vn,GOLDENGATE,true
giftpop.vn,1PEMP2425141401,giftpop.vn,LOTTERIA,true
giftpop.vn,MP2205300002,giftpop.vn,PIZZA4PS,true
giftpop.vn,MP2107290004,giftpop.vn,MARCFASHION,true
giftpop.vn,MP2504290006,giftpop.vn,TIEMGOIA,true
giftpop.vn,MP2104130006,giftpop.vn,PNJ,true
giftpop.vn,MP2508150003,giftpop.vn,HPLUS,true
giftpop.vn,MP2308220030,giftpop.vn,VIETNAMOBILE,true
giftpop.vn,MP2401310001,giftpop.vn,SOHACOIN,true
giftpop.vn,MP2512230008,giftpop.vn,SUOITIEN,true
giftpop.vn,MP2605150004,giftpop.vn,LOTTEMART,true
giftpop.vn,MP2307180007,giftpop.vn,BBWELLNESS,true
giftpop.vn,CB2012100002,giftpop.vn,KMARKET,true
giftpop.vn,MP2212080005,giftpop.vn,BELOVEDBEYOND,true
giftpop.vn,MP2509230002,giftpop.vn,BE,true
