campaign_external_source,campaign_external_id,category_code,is_primary
giftpop.vn,MP2311060005,GIFTPOP_VN_A101,true
giftpop.vn,MP2605070005,GIFTPOP_VN_A102,true
giftpop.vn,MP2502270006,GIFTPOP_VN_A103,true
giftpop.vn,MP2606300004,GIFTPOP_VN_A104,true
giftpop.vn,CB2507180001,GIFTPOP_VN_A104,true
giftpop.vn,CB2507180001,GIFTPOP_VN_A105,false
giftpop.vn,1PEMP2425142201,GIFTPOP_VN_A106,true
giftpop.vn,MP2205300005,GIFTPOP_VN_A107,true
giftpop.vn,MP2107290006,GIFTPOP_VN_A108,true
giftpop.vn,MP2504290008,GIFTPOP_VN_A110,true
giftpop.vn,MP2603020001,GIFTPOP_VN_A111,true
giftpop.vn,MP2508150005,GIFTPOP_VN_A112,true
giftpop.vn,MP2308220032,GIFTPOP_VN_A113,true
giftpop.vn,MP2401310003,GIFTPOP_VN_A114,true
giftpop.vn,MP2512230010,GIFTPOP_VN_A116,true
giftpop.vn,MP2605150006,GIFTPOP_VN_A117,true
giftpop.vn,MP2512020002,GIFTPOP_VN_A118,true
giftpop.vn,MP2605070001,GIFTPOP_VN_A117,true
giftpop.vn,MP2605070001,GIFTPOP_VN_A119,false
giftpop.vn,MP2212080007,GIFTPOP_VN_A120,true
giftpop.vn,MP2509230004,GIFTPOP_VN_A122,true
giftpop.vn,MP2311060004,GIFTPOP_VN_A101,true
giftpop.vn,MP2605070004,GIFTPOP_VN_A102,true
giftpop.vn,MP2502270005,GIFTPOP_VN_A103,true
giftpop.vn,MP2606300003,GIFTPOP_VN_A104,true
giftpop.vn,MP2303150002,GIFTPOP_VN_A104,true
giftpop.vn,MP2303150002,GIFTPOP_VN_A105,false
giftpop.vn,1PEMP2425141801,GIFTPOP_VN_A106,true
giftpop.vn,MP2205300003,GIFTPOP_VN_A107,true
giftpop.vn,MP2107290005,GIFTPOP_VN_A108,true
giftpop.vn,MP2504290007,GIFTPOP_VN_A110,true
giftpop.vn,MP2201170002,GIFTPOP_VN_A111,true
giftpop.vn,MP2508150004,GIFTPOP_VN_A112,true
giftpop.vn,MP2308220031,GIFTPOP_VN_A113,true
giftpop.vn,MP2401310002,GIFTPOP_VN_A114,true
giftpop.vn,MP2512230009,GIFTPOP_VN_A116,true
giftpop.vn,MP2605150005,GIFTPOP_VN_A117,true
giftpop.vn,MP2512020001,GIFTPOP_VN_A118,true
giftpop.vn,MP2012150001,GIFTPOP_VN_A117,true
giftpop.vn,MP2012150001,GIFTPOP_VN_A119,false
giftpop.vn,MP2212080006,GIFTPOP_VN_A120,true
giftpop.vn,MP2509230003,GIFTPOP_VN_A122,true
giftpop.vn,MP2311060003,GIFTPOP_VN_A101,true
giftpop.vn,MP2605070003,GIFTPOP_VN_A102,true
giftpop.vn,MP2502270003,GIFTPOP_VN_A103,true
giftpop.vn,MP2606300002,GIFTPOP_VN_A104,true
giftpop.vn,CB2211180002,GIFTPOP_VN_A104,true
giftpop.vn,CB2211180002,GIFTPOP_VN_A105,false
giftpop.vn,1PEMP2425141401,GIFTPOP_VN_A106,true
giftpop.vn,MP2205300002,GIFTPOP_VN_A107,true
giftpop.vn,MP2107290004,GIFTPOP_VN_A108,true
giftpop.vn,MP2504290006,GIFTPOP_VN_A110,true
giftpop.vn,MP2104130006,GIFTPOP_VN_A111,true
giftpop.vn,MP2508150003,GIFTPOP_VN_A112,true
giftpop.vn,MP2308220030,GIFTPOP_VN_A113,true
giftpop.vn,MP2401310001,GIFTPOP_VN_A114,true
giftpop.vn,MP2512230008,GIFTPOP_VN_A116,true
giftpop.vn,MP2605150004,GIFTPOP_VN_A117,true
giftpop.vn,MP2307180007,GIFTPOP_VN_A118,true
giftpop.vn,CB2012100002,GIFTPOP_VN_A117,true
giftpop.vn,CB2012100002,GIFTPOP_VN_A119,false
giftpop.vn,MP2212080005,GIFTPOP_VN_A120,true
giftpop.vn,MP2509230002,GIFTPOP_VN_A122,true
